"","X","wedge","Mb","iter","aMRS","amMOS","amMOS_sz","apMOS","apMOS_sz","hmean_m","hmean_m_sz","hmean_p","hmean_p_sz","lnorm_m","lnorm_m_sz","lnorm_p","lnorm_p_sz","gamma_m","gamma_m_sz","gamma_p","gamma_p_sz","weibull_m","weibull_m_sz","weibull_p","weibull_p_sz","n_zeros","n_singles","singles_v_mean","zeros_v_mean","n_points","n_detected","percent_det","percent_singles","ratio_zeros"
"44",44,1,40,4,0.406128892261726,0.518154869928941,0.810931767384909,0.310285683183855,0.538795484709883,0.308926621524364,0.363808577778475,0.18287817781852,0.228482470240007,0.30286077803744,0.354667379574518,0.180164890250803,0.216491292079232,0.257019896859495,0.207252920085081,0.15198998344105,0.0845924838869754,0.237257423938502,0.249436977705826,0.140315867562807,0.137218542335876,174.396860946053,67.6078646337254,1.42728031674049,0.737475820061689,1126,728,64.6536412078153,9.2867945925447,0.23955612767315
"45",45,1,40,5,0.408497217732533,0.51226138776739,0.739713793047309,0.330340812925688,0.520102116553703,0.314253868520945,0.359996926923031,0.187124099060943,0.232253985631154,0.312819508257096,0.353968884286363,0.186381237923954,0.225466955666288,0.27835684037199,0.243957867629191,0.155756249629244,0.121525244094751,0.258062053086995,0.258030512632913,0.146207293178911,0.152278873880172,182.229213219589,66.8969561054101,1.4539457594932,0.604565311689262,1125,760,67.5555555555556,8.80223106650133,0.239775280552091
"46",46,1,45,1,0.414781773805559,0.562483074090267,0.786581084994565,0.389545206631906,0.604672592753288,0.34695918623936,0.402456472960791,0.22975904075359,0.291284748109331,0.33918109644204,0.3963044192073,0.226779480185485,0.283168445282399,0.286504678747583,0.297139930129856,0.189234242331356,0.183981551655386,0.256239857286787,0.300277923723916,0.172550583204792,0.200749942968013,170.118651372203,57.2362113274389,1.53932412991646,0.639117247246017,844,531,62.914691943128,10.7789475192917,0.32037410804558
"47",47,1,45,2,0.411481691526529,0.512400705572287,0.775793507216485,0.34695292800388,0.562028082942394,0.306855771732128,0.396965495796072,0.179464065697154,0.238290883813184,0.305581604545621,0.396745781353719,0.177949349603853,0.234750511791592,0.270156802573468,0.308984090512016,0.133429728397708,0.126700016986591,0.253991250944383,0.309068048087353,0.131881370301409,0.164847506813839,190.177532419978,74.121322756081,1.43834040863473,0.653863423479476,1050,679,64.6666666666667,10.9162478285834,0.280084731104533
"48",48,1,45,3,0.412741483766108,0.55126343490421,0.745310105399353,0.342644069746492,0.548556477434918,0.305539291790707,0.407157769616232,0.18648022593962,0.252856056475595,0.311480180513729,0.406998703379212,0.186909431827217,0.252174129366286,0.269368531691676,0.336242207878484,0.156992722986334,0.170541247310673,0.257839309028868,0.324351776029824,0.152851263883246,0.188146077924859,182.467786050531,64.5821847761806,1.22509300728539,0.672889272542653,957,586,61.2330198537095,11.0208506443994,0.311378474488961
"49",49,1,45,4,0.413018591205127,0.586128348163681,0.787123872581914,0.387102276459919,0.603422069709491,0.348628531959227,0.367890330982122,0.213100950584153,0.26776357126273,0.355538007688593,0.373805776359438,0.210623561317467,0.262451576607799,0.324496502328875,0.275095611328457,0.170496519018878,0.15582529468682,0.311011261928541,0.292376601006051,0.163349745377145,0.187604216687663,205.724551135072,81.0779059912125,1.35842813394801,0.651806057166961,913,589,64.5125958378971,13.765349064722,0.349277675950886
"50",50,1,45,5,0.416185472553093,0.641064866113094,0.804890601320868,0.368325591604789,0.573806674726182,0.358268032274196,0.423445920178049,0.19587238052104,0.256901429573319,0.366872025883651,0.433385185754724,0.195325034423107,0.256265718046951,0.327643990964464,0.363652558206869,0.157273923662817,0.166219293982263,0.320620426334059,0.356070142096311,0.153752896236934,0.190128971508488,164.405272402989,68.3239080566058,1.38665732809937,0.653795279923479,889,570,64.1169853768279,11.9866505362466,0.288430302461384
"51",51,1,50,1,0.423950580707847,0.542266379079115,0.77376398851124,0.343076559037349,0.554086028458415,0.338288847611293,0.393186266446761,0.201395786130696,0.256288590403572,0.332124039372863,0.39337003238126,0.201944966118366,0.252655023065141,0.291123259284316,0.299032991797059,0.176714345546512,0.158743863907886,0.26672106815736,0.298847956411691,0.165369688926571,0.178906032057138,163.640228320884,65.433343773542,1.45869325427456,0.628005060578714,949,623,65.6480505795574,10.5029444259297,0.262664892970921
"52",52,1,50,2,0.420350021006571,0.562264541429694,0.799210577272506,0.347073302645633,0.578789755807167,0.327325045873873,0.394498804374309,0.163366890371352,0.224044119741902,0.339245267970043,0.396330468777443,0.167788963586135,0.227792912902455,0.312421526082124,0.290757709095933,0.127799785435567,0.107619224794678,0.299872431179884,0.295705321901638,0.133577606139837,0.159317331047743,182.349624765785,63.7932996303033,1.32653299434185,0.71205245435125,945,588,62.2222222222222,10.8492006173985,0.310118409465621
"53",53,1,50,3,0.422331168505048,0.617753909779791,0.810194580196937,0.398637130054101,0.612887621029711,0.357196836914197,0.420390023101802,0.173005774481915,0.240443151316293,0.356399320716504,0.415587433933901,0.187943598886805,0.256805854917212,0.301874449890771,0.320191679529741,0.145651250804602,0.155744584334225,0.2783829011488,0.319375205205171,0.155365449881092,0.192747723421218,171.809349654856,75.9721513256517,1.32702087020781,0.67856324486006,934,559,59.8501070663812,13.5907247451971,0.307351251618705
"54",54,1,50,4,0.42283395289366,0.554604947409705,0.774450136323824,0.299743439269712,0.519599927981783,0.333548777699835,0.381141201312235,0.165978148338354,0.217741226075885,0.329702191308844,0.379601113712528,0.164199086317786,0.210782170062038,0.290401826856288,0.282051777409514,0.134591282435698,0.100337356602706,0.274364353765691,0.292292595320937,0.129166875920505,0.14298382124623,179.818899550196,66.8958818158123,1.42084171170571,0.639679245020949,1092,658,60.2564102564103,10.1665473884213,0.273281002355921
"55",55,1,50,5,0.420182263977018,0.540986323882087,0.711386278335007,0.322807146916529,0.49573612822026,0.324634906442894,0.385943921755013,0.186853567875453,0.236830624605142,0.322261583586567,0.383115957197001,0.186397843879539,0.233002546702647,0.279995926194551,0.310260718975643,0.160583433521506,0.15660991895743,0.25841250071467,0.300201174012754,0.15125969782631,0.169206258091075,187.439702701214,57.8311896090325,1.14668859615638,0.668816484764835,1171,755,64.4748078565329,7.65976021311689,0.248264506889025
"56",1,2,1,1,0.196016974652999,0.304069523462201,0.404886666971243,0.179897099792201,0.243496987680914,0.174137949635222,0.193487748494358,0.0937437378465333,0.10743870472559,0.171077898745274,0.188224740610427,0.0933517341664305,0.104815634774422,0.141697068134352,0.120952011558725,0.0719628704750655,0.0548003859735565,0.133634972736531,0.133166826452718,0.070619188874556,0.0700731383710533,24.2130268906278,11.7266155012179,0.942922136654798,0.35631746608688,2687,821,30.5545217714924,1.42833319137855,0.0294921155793274
"57",2,2,1,2,0.196106627500076,0.398166784449224,0.397317918897481,0.192748571002945,0.236603106905566,0.204753444098878,0.202873380366729,0.0919982496249505,0.104185401559358,0.19578845707161,0.200664979171084,0.0929678856623843,0.104787877647432,0.133358456035354,0.1525244743614,0.0679058983288715,0.0665876104785753,0.138088317328494,0.153996644452544,0.0710319564466079,0.0770764526357062,29.877907405708,12.0139276375919,0.664942509757737,0.354672523139136,3198,1063,33.2395247029393,1.13019074671608,0.0281071565434694
"58",3,2,1,3,0.194868349436039,0.296202524301064,0.401425763706279,0.169750955146261,0.225023798197704,0.186412638213343,0.200941043630884,0.0941371260572622,0.105701402287066,0.1839207171777,0.195449942165978,0.0952718611875048,0.10455996275074,0.162345985355885,0.132553723464621,0.0806197181534098,0.0646337509834773,0.147329330536457,0.138129603997378,0.0762474700417457,0.0716792340139545,26.6690628439679,13.9784284292375,0.921734233384155,0.36433451704028,3146,1074,34.1385886840432,1.3015296489048,0.024831529649877
"59",4,2,1,4,0.196399468345513,0.37056551630384,0.427117104538017,0.191741163229932,0.244463097848571,0.177338256763472,0.211635617362545,0.0909734333950173,0.103628996057704,0.178565473123983,0.210729484653743,0.0905792595353022,0.102405044770057,0.118400357565936,0.148645370292785,0.0616408911625911,0.0531071873241021,0.124516758544051,0.152096946488294,0.0660108205648916,0.070137411700083,18.7133979439749,18.2266769069192,0.706292221480527,0.389387713257938,3148,934,29.6696315120712,1.95146433692925,0.0200357579699945
"60",5,2,1,5,0.195237789837324,0.298708827091489,0.383033933195423,0.165335844866213,0.212152296825512,0.187043269406557,0.18213741711261,0.0852661678946149,0.0941053127860604,0.183158797639112,0.182873843063606,0.0842013094806425,0.0914753549806533,0.160461584241642,0.130699346807778,0.0645585395861505,0.0506471887090247,0.146684679447841,0.13806072921891,0.0647803457331844,0.0631442611985498,26.7743749407471,15.36521036812,0.881739351033784,0.353391493406816,3399,1097,32.2741982936158,1.40065728059435,0.0244069051419755
