"","species","speed","category","size"
"341","takin",0.179415222812778,"LS","large"
"342","takin",0.346529923892271,"LS","large"
"343","takin",0.0233308582663489,"LS","large"
"344","takin",0.0078490961542621,"LS","large"
"345","takin",0.0126303119836882,"LS","large"
"346","takin",0.00349848719056312,"LS","large"
"347","takin",0.0270956116544991,"LS","large"
"348","takin",0,"LS","large"
"349","takin",0.177675011838442,"LS","large"
"350","takin",0.189980287896679,"LS","large"
"351","takin",0.0992521973733564,"LS","large"
"352","takin",0.128674323588335,"LS","large"
"353","takin",0.172497844423078,"LS","large"
"354","takin",0,"LS","large"
"355","takin",0,"LS","large"
"356","takin",0,"LS","large"
"357","takin",0.00341036069788542,"LS","large"
"358","takin",0.00349307073924532,"LS","large"
"359","takin",0.024383499780676,"LS","large"
"360","takin",0.0145764723231796,"LS","large"
"361","takin young",0.146558975797072,"LS","large"
"362","takin",0.0182526713095,"LS","large"
"363","takin",0.127024260206621,"LS","large"
"364","takin",0.145731605086379,"LS","large"
"365","takin",0.0375636655907703,"LS","large"
"366","takin",0.092498227958449,"LS","large"
"367","takin",0.129240163090107,"LS","large"
"368","takin",0.090918894256121,"LS","large"
"369","takin",0.0114540846626183,"LS","large"
"370","takin",0.162756811186338,"LS","large"
"371","takin",0.0110300441271695,"LS","large"
"372","takin",0.0792811737269588,"LS","large"
"373","takin",0.000480045549838752,"LS","large"
"374","takin",0.00692231216431832,"LS","large"
"375","takin",0.020159622327611,"LS","large"
"376","takin",3.82634721506505e-06,"LS","large"
"377","takin",6.29554965741559e-06,"LS","large"
"378","takin",5.77472949322471e-06,"LS","large"
"379","takin",7.29206968598033e-06,"LS","large"
"380","takin",5.5463543668674e-06,"LS","large"
"381","takin",5.26695626242971e-06,"LS","large"
"382","takin",3.16911776728718e-06,"LS","large"
"383","takin",4.34895793336667e-05,"LS","large"
"384","takin",1.45178921854841e-05,"LS","large"
"385","takin",2.44914324926691e-05,"LS","large"
"386","takin",9.89642835122429e-06,"LS","large"
"387","takin",2.83359484929288e-05,"LS","large"
"388","takin",3.10642140747696e-05,"LS","large"
"389","takin",6.71236916945315e-05,"LS","large"
"390","takin",4.50216054269491e-05,"LS","large"
"391","takin",3.06117810182476e-05,"LS","large"
"392","takin",3.48777133543015e-05,"LS","large"
"393","takin",2.13915379276935e-05,"LS","large"
"394","takin",2.126657185359e-05,"LS","large"
"395","takin",1.16579280569562e-05,"LS","large"
"396","takin",2.95733404046504e-05,"LS","large"
"397","takin",1.9725668609296e-05,"LS","large"
"398","takin",0.000235783058360479,"LS","large"
"399","takin",1.68207171399583e-05,"LS","large"
"400","takin",1.29981423644675e-05,"LS","large"
"401","takin young",2.34376025385966e-05,"LS","large"
"402","takin young",0.10654097032578,"LS","large"
"403","takin",0.123085078154669,"LS","large"
"404","takin",0.0999957628725091,"LS","large"
"405","takin",0.0461082367166754,"LS","large"
"406","takin young",0.0135265143588393,"LS","large"
"407","takin",0.109827437568705,"LS","large"
"408","takin",0.0493544259806471,"LS","large"
"409","takin",0.145274876628288,"LS","large"
"410","takin",0.136514171441009,"LS","large"
"411","takin",0.00206384829809928,"LS","large"
"412","himalayan black bear",0.0996862242223371,"LS","large"
"413","takin",0.0883521874217343,"LS","large"
"414","takin",0.143661562444409,"LS","large"
"415","takin",0.166609895163475,"LS","large"
"416","takin",0.163341359850553,"LS","large"
"417","takin",0.155734484773704,"LS","large"
"418","takin",0.414165318040955,"LS","large"
"419","takin",0.156773916852148,"LS","large"
"420","takin",0.182776597717279,"LS","large"
"421","takin",0.156739820525201,"LS","large"
"422","takin young",0.15200426042003,"LS","large"
"423","takin",0.126739650591828,"LS","large"
"424","takin young",0.161127974249312,"LS","large"
"425","takin young",0.130366028136727,"LS","large"
"426","takin young",0.17408480869066,"LS","large"
"427","takin young",0.132713467463442,"LS","large"
"428","takin young",0.152958094299893,"LS","large"
"429","takin",0.154039422046011,"LS","large"
"430","takin",0.0121955738149073,"LS","large"
"431","takin",0.126019116403419,"LS","large"
"432","takin",0.127294506651611,"LS","large"
"433","himalayan black bear",0.581843042347611,"LS","large"
"434","takin",0.389394216804464,"LS","large"
"435","takin",0.158485687754679,"LS","large"
"436","takin",0.0717891015075926,"LS","large"
"437","takin",0.132426395546803,"LS","large"
"438","takin",0.145150867282702,"LS","large"
"439","takin",0.0970443384345099,"LS","large"
"440","takin",0.096531082900287,"LS","large"
"441","takin young",0.00888585460111421,"LS","large"
"442","takin young",0,"LS","large"
"443","takin",0.0683954797832089,"LS","large"
"444","takin young",0.186583127257104,"LS","large"
"445","takin",0,"LS","large"
"446","takin",0.00895401289355677,"LS","large"
"447","takin",0.0330227807750337,"LS","large"
"448","takin young",0.212682072106522,"LS","large"
"449","takin young",0.148495347057262,"LS","large"
"450","takin",0.085365620176865,"LS","large"
"451","himalayan black bear",0.783342903599119,"LS","large"
"452","takin",0.350465897975149,"LS","large"
"453","takin",0.57161857048074,"LS","large"
"454","takin",0.0829722435898628,"LS","large"
"455","takin",2.29712430537903,"LS","large"
"456","takin",0.171937948589682,"LS","large"
"457","takin",0.439913117660233,"LS","large"
"458","takin young",0.218129595479788,"LS","large"
"459","takin",0.140289043187969,"LS","large"
"460","takin",0.00942930693166498,"LS","large"
"461","takin",0.0485707943349341,"LS","large"
"462","takin",0.0336338462542357,"LS","large"
"463","takin",0.0606914409117411,"LS","large"
"464","takin",0.0373365172307211,"LS","large"
"465","takin",0.0309550247197064,"LS","large"
"466","takin",0.0261689765663102,"LS","large"
"467","takin",0.0317768761734448,"LS","large"
"468","takin",0.0933463566082872,"LS","large"
"469","takin",0.281419062880642,"LS","large"
"470","takin",0.157631017789825,"LS","large"
"471","takin",0,"LS","large"
"472","takin",0.262797219607569,"LS","large"
"473","takin",0.478155081791122,"LS","large"
"474","takin",0.14890985801074,"LS","large"
"475","takin",0.0254877705745102,"LS","large"
