markerid,image,sequence,x,y,species,location,date,filename,camid,siteid,radius,angle,pixdiff,dist,secs,speed,n
3916,24868,2786,115,881,Fox,Loc_51,2016-10-26 00:05:10,C:/Users/nash.l/Documents/Processed photos/point 51 phase 2/Loc_51-20161026-00-05-10-IMG_0246.jpg,RP8,Loc_51_RP8,3.52271193777374,-0.349475003082306,1081.84959592244,2.29082295557996,3,0.763607651859987,5
3922,24873,2788,1498,782,Fox,Loc_51,2016-10-26 00:05:24,C:/Users/nash.l/Documents/Processed photos/point 51 phase 2/Loc_51-20161026-00-05-24-IMG_0251.jpg,RP8,Loc_51_RP8,2.85147181206398,0.18223449005612,1094.14476765453,1.63755404090311,5,0.327510808180622,9
3939,24963,2797,661,441,Fox,Loc_51,2016-10-27 02:53:43,C:/Users/nash.l/Documents/Processed photos/point 51 phase 2/Loc_51-20161027-02-53-43-IMG_0341.jpg,RP8,Loc_51_RP8,1.35619064832678,-0.139559324663231,618.645297692363,0.822771908447545,17,0.0483983475557379,23
3968,25023,2804,926,624,Fox,Loc_51,2016-10-31 01:50:04,C:/Users/nash.l/Documents/Processed photos/point 51 phase 2/Loc_51-20161031-01-50-04-IMG_0401.jpg,RP8,Loc_51_RP8,1.88931626121839,-0.0376771730495776,836.134558549041,1.0918803025692,1,1.0918803025692,2
4038,25213,2873,919,622,Fox,Loc_51,2016-11-01 01:16:22,C:/Users/nash.l/Documents/Processed photos/point 51 phase 2/Loc_51-20161101-01-16-22-IMG_0591.jpg,RP8,Loc_51_RP8,1.88117431159479,-0.040368399695976,866.910023261257,0.939538433339872,2,0.469769216669936,3
4071,25313,2904,1303,671,Hedgehog,Loc_52,2016-10-18 04:54:53,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos1)/Loc_52-20161018-04-54-53-IMG_0291.jpg,RP8,Loc_52_RP8,3.79926734922452,0.10726460490645,39.0262975904404,0.0651346796054468,5,0.0130269359210894,10
4082,25323,2906,1465,641,Hedgehog,Loc_52,2016-10-18 04:55:02,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos1)/Loc_52-20161018-04-55-02-IMG_0301.jpg,RP8,Loc_52_RP8,3.73803168009251,0.169547278723099,325.122511442162,0.547512429146646,5,0.109502485829329,10
4094,25343,2909,614,750,Fox,Loc_52,2016-10-18 23:13:41,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos1)/Loc_52-20161018-23-13-41-IMG_0481.jpg,RP8,Loc_52_RP8,3.55419898582363,-0.157628989289049,919.961730783576,1.69382476115979,5,0.338764952231958,10
4105,25353,2911,684,725,Fox,Loc_52,2016-10-18 23:58:26,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos1)/Loc_52-20161018-23-58-26-IMG_0491.jpg,RP8,Loc_52_RP8,3.50166841869034,-0.130716722825065,828.469268282016,1.32205330098635,2,0.661026650493176,3
4110,25373,2914,582,677,Hedgehog,Loc_52,2016-10-19 01:52:06,C:/Users/nash.l/Documents/Processed photos/point 52 phase 2 (pos1)/Loc_52-20161019-01-52-06-IMG_0511.jpg,RP8,Loc_52_RP8,3.17882125064756,-0.169931739672584,1097.95708306368,1.97426940450087,10,0.197426940450087,16
