"","species","speed"
"372","paca",0.278181818181818
"373","paca",0.327272727272727
"374","brocket",0.343636363636363
"375","brocket",0.36
"376","peccary",0.392727272727272
"377","brocket",0.392727272727272
"378","brocket",0.375
"379","brocket",0.407142857142857
"380","peccary",0.125
"381","paca",0.1815
"382","paca",0.1065
"383","paca",0.1425
"384","peccary",0.083076923076923
"385","brocket",0.332307692307692
"386","brocket",0.675000000000001
"387","paca",0.3195
"388","paca",0.3375
"389","peccary",0.387692307692307
"390","peccary",0.195230769230769
"391","paca",0.39
"392","peccary",0.0509340659340658
"393","peccary",0.177692307692308
"394","peccary",0.193846153846154
"395","paca",0.205714285714286
"396","brocket",0.156122448979592
"397","paca",0.311538461538462
"398","brocket",0.202040816326531
"399","peccary",0.295714285714285
"400","paca",0.36
"401","brocket",0.398571428571428
"402","peccary",0.668571428571428
"403","paca",0.0514285714285714
"404","paca",0.105535714285715
"405","peccary",0.289285714285715
"406","brocket",0.143653846153846
"407","peccary",0.12
"408","paca",0.132
"409","peccary",0.231428571428571
"410","brocket",0.27
"411","brocket",0.467307692307693
"412","peccary",0.336
"413","peccary",0.265714285714286
"414","peccary",0.348979591836735
"415","peccary",0.36
"416","brocket",0.477551020408163
"417","brocket",0.36
"418","peccary",0.0615306122448979
"419","paca",0.0938571428571428
"420","peccary",0.128571428571429
"421","peccary",0.117857142857143
"422","brocket",0.27
"423","paca",0.466071428571429
"424","brocket",0.445500000000001
"425","paca",0.419464285714286
"426","paca",0.1125
"427","paca",0.144
"428","peccary",0.1125
"429","paca",0.228
"430","paca",0.20625
"431","brocket",0.253125
"432","peccary",0.3825
"433","peccary",0.551999999999999
"434","paca",0.048
"435","paca",0.0752884615384618
"436","paca",0.230625
"437","peccary",0.0506249999999999
"438","brocket",0.478125
"439","peccary",0.225
"440","brocket",0.225
"441","peccary",0.0847058823529411
"442","paca",0.19125
"443","peccary",0.2625
"444","peccary",0.317647058823529
"445","paca",0.34875
"446","peccary",0.37125
"447","brocket",0.185294117647059
"448","peccary",0.232941176470588
"449","paca",0.18
"450","brocket",0.17
"451","brocket",0.18
"452","peccary",0.2
"453","paca",0.149294117647059
"454","paca",0.1
"455","paca",0.0473684210526316
"456","paca",0.0757894736842105
"457","paca",0.0947368421052633
"458","peccary",0.0852631578947368
"459","brocket",0.0609022556390977
"460","paca",0.0947368421052631
"461","peccary",0.151578947368421
"462","paca",0.151578947368421
"463","paca",0.151578947368421
"464","peccary",0.151578947368421
"465","peccary",0.161052631578947
"466","peccary",0.17
"467","brocket",0.170526315789474
"468","peccary",0.18
"469","peccary",0.1125
"470","brocket",0.2
"471","brocket",0.173684210526316
"472","paca",0.208421052631579
"473","peccary",0.227368421052631
"474","brocket",0.236842105263158
"475","brocket",0.148026315789474
"476","brocket",0.148026315789474
"477","brocket",0.153947368421053
"478","peccary",0.265263157894737
"479","brocket",0.165789473684211
"480","peccary",0.274736842105263
"481","brocket",0.241666666666667
"482","peccary",0.284210526315789
"483","brocket",0.3
"484","peccary",0.209774436090226
"485","peccary",0.303157894736842
"486","peccary",0.312631578947368
"487","peccary",0.312631578947368
