"species" "distance" "intervals" "avgduration"
"339" "agouti" 1.16 3 0.777777777777778
"340" "agouti" 0.68 3 1.33333333333333
"341" "mouse" 0.53 3 0.444444444444444
"342" "agouti" 0.65 3 2.22222222222222
"343" "agouti" 1.3 3 0.777777777777778
"344" "agouti" 1.36 3 1.44444444444444
"345" "armadillo" 0.6 2 0.555555555555556
"346" "paca" 0.95 3 0.444444444444444
"347" "agouti" 0.68 2 0.444444444444444
"348" "agouti" 2.66 3 2.44444444444444
"349" "brocket" 3.5 3 2.33333333333333
"350" "agouti" 0.1 3 0.777777777777778
"351" "agouti" 0.66 2 0.666666666666667
"352" "peccary" 1 2 0.555555555555556
"353" "agouti" 0.68 3 1.55555555555556
"354" "ocelot" 0.56 3 1.22222222222222
"355" "mouse" 0.58 3 1.55555555555556
"356" "agouti" 0.88 2 0.777777777777778
"357" "brocket" 0.9 3 0.666666666666667
"358" "agouti" 0.43 3 1.22222222222222
"359" "agouti" 0.52 3 2.11111111111111
"360" "agouti" 1.38 3 2.11111111111111
"361" "brocket" 0.63 2 0.444444444444444
"362" "mouse" 0.38 2 0.444444444444444
"363" "ocelot" 0.4 2 0.444444444444444
"364" "coati" 0.43 2 0.555555555555556
"365" "agouti" 0.48 3 2
"366" "peccary" 0.48 3 1.66666666666667
"367" "agouti" 0.61 3 1.55555555555556
"368" "agouti" 0.61 3 0.555555555555556
"369" "coati" 0.73 3 1.55555555555556
"370" "agouti" 0.98 3 2.22222222222222
"371" "agouti" 1 3 0.777777777777778
"372" "agouti" 1 3 0.888888888888889
"373" "ocelot" 1.11 3 0.555555555555556
"374" "coati" 1.3 3 0.777777777777778
"375" "agouti" 1.7 3 0.777777777777778
"376" "brocket" 1.8 3 2.22222222222222
"377" "brocket" 2.9 3 1.55555555555556
"378" "squirrel" 0.41 2 0.777777777777778
"379" "tamandua" 0.42 3 0.666666666666667
"380" "agouti" 0.43 3 2.11111111111111
"381" "ocelot" 0.54 3 1.22222222222222
"382" "mouse" 0.67 3 1.66666666666667
"383" "agouti" 0.74 3 1.22222222222222
"384" "agouti" 0.8 3 1.77777777777778
"385" "agouti" 1.05 3 1.44444444444444
"386" "rat" 0.42 2 0.666666666666667
"387" "mouse" 0.55 3 1.22222222222222
"388" "squirrel" 1.2 3 0.777777777777778
"389" "agouti" 0.48 3 0.555555555555556
"390" "agouti" 0.7 3 2.55555555555556
"391" "agouti" 1.24 3 1.77777777777778
"392" "agouti" 0.57 3 0.555555555555556
"393" "coati" 0.8 2 0.666666666666667
"394" "peccary" 0.4 3 0.666666666666667
"395" "mouse" 0.52 3 1.66666666666667
"396" "squirrel" 0.61 3 2.22222222222222
"397" "agouti" 1.23 3 2.44444444444444
"398" "agouti" 1.3 3 2.55555555555556
"399" "agouti" 1.48 3 2.11111111111111
"400" "tamandua" 0.61 3 2.55555555555556
"401" "agouti" 0.61 3 0.555555555555556
"402" "brocket" 1.18 3 1.22222222222222
"403" "brocket" 1.32 3 1.55555555555556
"404" "agouti" 0.37 2 0.555555555555556
"405" "agouti" 1.32 3 2.44444444444444
"406" "ocelot" 0.63 3 0.666666666666667
"407" "paca" 0.67 3 1.44444444444444
"408" "paca" 0.76 3 1.77777777777778
"409" "squirrel" 0.65 3 2.44444444444444
"410" "paca" 0.7 3 1.33333333333333
"411" "agouti" 1.12 3 1.44444444444444
"412" "agouti" 0.91 3 2.55555555555556
"413" "tamandua" 1.25 3 2.44444444444444
"414" "agouti" 0.62 3 0.555555555555556
"415" "agouti" 0.8 3 2.66666666666667
"416" "rat" 1.41 2 0.555555555555556
"417" "agouti" 0.45 3 1.33333333333333
"418" "coati" 1.12 3 2.22222222222222
"419" "brocket" 1.71 2 0.777777777777778
"420" "armadillo" 0.45 3 1.55555555555556
"421" "rat" 1.35 3 1.66666666666667
"422" "agouti" 1.56 3 1.55555555555556
"423" "agouti" 0.23 2 0.666666666666667
"424" "agouti" 0.62 3 0.444444444444444
"425" "armadillo" 0.53 3 1.33333333333333
"426" "agouti" 0.42 3 2.44444444444444
"427" "agouti" 0.58 3 0.777777777777778
"428" "agouti" 1.84 3 2.33333333333333
"429" "agouti" 0.31 3 0.666666666666667
"430" "agouti" 0.53 3 2
"431" "rat" 0.35 3 0.555555555555556
"432" "rat" 0.4 4 0.555555555555556
"433" "rat" 0.6 4 0.555555555555556
"434" "agouti" 0.6 3 0.777777777777778
"435" "agouti" 0.7 4 0.888888888888889
"436" "agouti" 0.7 4 0.777777777777778
"437" "agouti" 0.7 4 0.555555555555556
"438" "paca" 0.8 4 0.555555555555556
"439" "rat" 0.8 3 0.555555555555556
"440" "agouti" 0.9 4 0.888888888888889
"441" "peccary" 0.9 4 0.555555555555556
"442" "paca" 0.9 3 0.555555555555556
"443" "paca" 0.9 4 0.666666666666667
"444" "paca" 0.9 4 0.555555555555556
"445" "peccary" 1 4 0.555555555555556
"446" "coati" 1.2 4 0.888888888888889
"447" "peccary" 1.3 3 0.555555555555556
"448" "brocket" 1.4 4 0.777777777777778
"449" "agouti" 1.5 4 0.777777777777778
"450" "agouti" 1.6 3 0.555555555555556
"451" "peccary" 1.6 3 0.777777777777778
"452" "peccary" 1.6 4 0.888888888888889
"453" "peccary" 1.7 3 0.777777777777778
"454" "brocket" 1.7 4 0.888888888888889
"455" "agouti" 1.7 4 0.777777777777778
"456" "peccary" 1.8 3 0.888888888888889
"457" "coati" 1.8 4 0.777777777777778
"458" "ocelot" 1.8 4 0.777777777777778
"459" "peccary" 2.4 3 0.888888888888889
"460" "brocket" 2.4 4 0.555555555555556
"461" "peccary" 3.4 3 0.555555555555556
"462" "peccary" 0.87 3 0.444444444444444
"463" "peccary" 1.61 4 2.44444444444444
"464" "agouti" 2.03 4 2.22222222222222
"465" "peccary" 4.5 4 2.22222222222222
"466" "peccary" 4.5 4 2.22222222222222
"467" "agouti" 0.86 4 2.55555555555556
"468" "paca" 0.87 4 1.66666666666667
"469" "peccary" 2.2 4 1.55555555555556
"470" "agouti" 1.26 4 2.33333333333333
"471" "agouti" 0.67 4 2.11111111111111
"472" "tamandua" 0.45 2 0.555555555555556
"473" "peccary" 0.55 4 0.777777777777778
"474" "brocket" 0.44 4 1.66666666666667
"475" "agouti" 0.49 3 0.555555555555556
"476" "peccary" 1.12 4 0.555555555555556
"477" "paca" 1.36 4 1.44444444444444
"478" "agouti" 0.45 4 1.44444444444444
"479" "paca" 0.78 4 1.55555555555556
"480" "agouti" 1.46 4 2
"481" "coati" 0.47 4 0.555555555555556
"482" "ocelot" 1.16 3 0.555555555555556
"483" "agouti" 0.52 4 0.555555555555556
"484" "agouti" 2.8 4 0.555555555555556
"485" "mouse" 0.63 4 0.555555555555556
"486" "paca" 0.46 3 0.555555555555556
"487" "rat" 0.85 4 0.444444444444444
"488" "ocelot" 1.6 4 0.777777777777778
"489" "agouti" 0.74 4 0.666666666666667
"490" "agouti" 0.72 4 2.33333333333333
"491" "agouti" 0.4 4 2.33333333333333
"492" "agouti" 0.25 4 1.44444444444444
"493" "coati" 1.7 4 0.888888888888889
"494" "agouti" 0.81 4 0.555555555555556
"495" "agouti" 1.21 3 0.555555555555556
"496" "ocelot" 1.73 4 0.666666666666667
"497" "coati" 1.8 4 0.777777777777778
"498" "rat" 0.35 3 0.555555555555556
"499" "coati" 0.44 4 2.44444444444444
"500" "mouse" 0.25 3 0.444444444444444
"501" "tamandua" 0.7 4 0.888888888888889
"502" "agouti" 0.88 4 2.22222222222222
"503" "ocelot" 0.57 3 0.555555555555556
"504" "agouti" 1 4 0.777777777777778
"505" "rat" 0.42 4 1.22222222222222
"506" "agouti" 0.54 4 1.55555555555556
"507" "agouti" 1.43 4 0.777777777777778
"508" "agouti" 1.8 4 0.888888888888889
"509" "squirrel" 0.34 4 0.555555555555556
"510" "agouti" 0.7 4 0.777777777777778
"511" "agouti" 0.43 4 1.88888888888889
"512" "agouti" 0.49 3 0.666666666666667
"513" "agouti" 0.59 4 0.777777777777778
"514" "agouti" 0.84 3 0.777777777777778
"515" "mouse" 0.46 4 1.55555555555556
"516" "squirrel" 0.58 4 1.44444444444444
"517" "agouti" 0.73 4 0.777777777777778
