"","wedge","Mb","iter","aMRS","amMOS","amMOS_sz","apMOS","apMOS_sz","hmean_m","hmean_m_sz","hmean_p","hmean_p_sz","lnorm_m","lnorm_m_sz","lnorm_p","lnorm_p_sz","gamma_m","gamma_m_sz","gamma_p","gamma_p_sz","weibull_m","weibull_m_sz","weibull_p","weibull_p_sz","n_zeros","n_singles","singles_v_mean","zeros_v_mean","n_points","n_detected"
"16","middle",5,8,0.267518814628178,0.418978585982122,0.525301282561622,0.255196565973901,0.337860986595591,0.245832142932883,0.261706698858169,0.132280550525121,0.152588475675138,0.240973248770913,0.255221644742779,0.13100353034574,0.149007045142971,0.202028152167296,0.174084656616903,0.0994974474320833,0.0840185609572428,0.188227151036395,0.181676421769212,0.0985347868022532,0.10146237437968,30.5849228073919,26.7756141270824,1.03202679258102,0.47097580668149,3011,963
"17","middle",10,1,0.310605419849583,0.500436332275403,0.636233394638979,0.300969331870587,0.431077041860721,0.286158343400012,0.315278069404321,0.166646766315722,0.199842072121468,0.279324015080343,0.308226053119002,0.164760501311081,0.193857305014265,0.224177773312909,0.214707595993985,0.129908582390265,0.111826614380198,0.209388431120388,0.224425165307658,0.121467892481082,0.131288836445792,37.7586451780779,31.4970028308315,1.17723917613377,0.573619231762078,2597,815
"18","middle",10,2,0.30870984322291,0.600268682556401,0.680649168425874,0.322002971124712,0.458247287004891,0.328843675709842,0.331772760774553,0.168841248453105,0.204223972926665,0.318687946129595,0.332469456552761,0.169803186867443,0.202980367137058,0.244911824311112,0.24814275194761,0.136371673619624,0.125910608269229,0.237031957185105,0.257578664719852,0.133737908560604,0.146717037211408,37.9867075300679,29.1765071026021,1.13312176767537,0.620738775729999,2792,809
"19","middle",10,3,0.306797712966219,0.573078009724346,0.644704017817701,0.323820248600827,0.439840250778731,0.303303937585126,0.320353324017836,0.168544813093247,0.200887261114652,0.29943991297098,0.321682856275937,0.170408520593233,0.201332230818606,0.232210257774314,0.240304513713637,0.136104421001203,0.130516193402332,0.228073732212023,0.244013947320383,0.133107150185541,0.145361386903291,35.4344021385411,30.8605971434549,1.23572277592565,0.547798841716489,2385,821
"20","middle",10,4,0.310065345843633,0.483311012575806,0.595944849298537,0.281636794482843,0.388331344186197,0.299997130486373,0.328555077246756,0.153995560776373,0.183902346366681,0.293152422313107,0.323612743235432,0.154371170472738,0.182136866629527,0.253418875728194,0.260253847442644,0.126822582364936,0.121129609342651,0.231096873851437,0.249519805748198,0.120812432729697,0.131157406224178,40.1388508775411,30.1686867941178,1.10772010511946,0.527965253796357,3245,1044
"21","middle",10,5,0.308509292406973,0.54968628566051,0.682995601780077,0.305460977975322,0.435251018527305,0.317029128658226,0.35769313703442,0.160443836962068,0.19374235563157,0.308884753481029,0.349396605777894,0.163006149213354,0.19367207396317,0.250375403124626,0.253822277379822,0.133684971350947,0.114994539014228,0.233740492568612,0.250995222018396,0.130336438771315,0.135010110379054,36.6929088762702,26.7413199627058,1.21537760853415,0.626069579560187,3071,925
"22","middle",10,6,0.309601927313987,0.492876750808866,0.589963067465785,0.252063855342327,0.364432623494054,0.255915858777767,0.296236210094605,0.134067918982621,0.161946953019398,0.25498748639637,0.298779245378932,0.131906916879121,0.157839744568518,0.196873522994246,0.227489223095929,0.101888796593494,0.0885010152402433,0.194322428202055,0.22809210323473,0.0997694377881141,0.109159734131817,31.2127470215539,20.3144312765071,1.04737250487773,0.549769083325809,2881,1006
"23","middle",10,7,0.30766754079337,0.469262329570265,0.611658397538983,0.269319412000709,0.378949208615789,0.299926449464401,0.321897186871556,0.138466139050906,0.164721410526957,0.297216104135832,0.320104287946848,0.137851153483567,0.16190526455086,0.266630947684686,0.249967171850454,0.106528460652002,0.0900178146679384,0.240740965352753,0.244480821457257,0.106134597207204,0.11299520719598,37.6521423769361,33.4681015869208,1.13195473729296,0.560984422028543,3328,1092
"24","middle",10,8,0.30882422653513,0.511104568607593,0.669321338595051,0.323250188242531,0.464883980711269,0.317956109352412,0.342889041147823,0.160211993731556,0.198209817215451,0.316942169016815,0.338708459054962,0.163251169326041,0.198919095154011,0.284526942550584,0.253331977472159,0.126130978140754,0.112902730901222,0.26194836850735,0.254223469998762,0.126447736006316,0.14023608982121,40.0342544901847,34.1407864968347,1.26447434852098,0.598213341218577,2643,783
"25","middle",15,1,0.331692993458897,0.554541916622968,0.664926982468342,0.307577648347998,0.441391952247061,0.300698135862605,0.340804861124195,0.14751147420258,0.183895061712002,0.298910622324517,0.34150899408992,0.148078769020439,0.18405163336816,0.241083871180376,0.26508915713184,0.108131473802584,0.102476839181578,0.232171796658337,0.263396162609961,0.113416089722602,0.131848991244074,43.662033500393,34.4621849172503,1.23891701977385,0.597203644665956,3028,978
"26","middle",15,2,0.332386176664327,0.548904713891863,0.650081891386128,0.283722460046456,0.412576139566258,0.283699545467788,0.313670239352756,0.13126710413125,0.16239438980981,0.280860952226233,0.30999502784807,0.132416613794366,0.161930709685345,0.217303614998382,0.215362160688489,0.091752080321925,0.0715495476877755,0.217750387557365,0.228461900894279,0.099237677947903,0.110361826627375,40.6752297872504,30.397372935063,1.15953210109692,0.59318400038804,2796,1023
"27","middle",15,3,0.333850125766834,0.613040507163735,0.663886596122133,0.339951990750233,0.467496658049302,0.342212728383116,0.34106483729462,0.163339486017095,0.202800458961438,0.341294332162593,0.341636731363197,0.166775910374479,0.205790969103249,0.289311322589694,0.270444486402451,0.126378239891333,0.131104855489996,0.279370762054539,0.27027858664343,0.13025283573357,0.152542268711977,46.189105341974,39.0539700059963,1.11146526522994,0.58151187312976,3002,847
