"","wedge","Mb","iter","aMRS","amMOS","amMOS_sz","apMOS","apMOS_sz","hmean_m","hmean_m_sz","hmean_p","hmean_p_sz","lnorm_m","lnorm_m_sz","lnorm_p","lnorm_p_sz","gamma_m","gamma_m_sz","gamma_p","gamma_p_sz","weibull_m","weibull_m_sz","weibull_p","weibull_p_sz","n_zeros","n_singles","singles_v_mean","zeros_v_mean"
"28","whole",15,4,0.334517205401872,0.4929262542557,0.653884335898197,0.267601559152492,0.410738935824993,0.274456630222786,0.316435121402401,0.134494268661389,0.16727445371146,0.270638596891589,0.311950115557439,0.135077548899472,0.164917237968445,0.220656104633504,0.210918097773566,0.103024565091299,0.0734100604756954,0.210865956654944,0.224050186109978,0.103752415049424,0.11001824278015,220.975241937937,29.6208869740961,0.995416516104095,0.658606965843226
"29","whole",15,5,0.337618537666277,0.529476461771017,0.626550098938061,0.299025950329116,0.422044617506303,0.274449222254305,0.312290377652774,0.14686010282701,0.18101862322072,0.274180597696524,0.311720563087703,0.149611473288947,0.182690739244065,0.20565156416963,0.22788559587476,0.115724654922324,0.108325592591749,0.201035561719159,0.23149016355004,0.117513411829265,0.13084582622939,225.278398252104,38.5849373420392,0.961422234657405,0.610184451979878
"30","whole",15,6,0.332238812702798,0.530437123755773,0.673222906088294,0.301135051788722,0.45366168699697,0.30243873633641,0.327368488169724,0.160147672908754,0.198662318408513,0.297589397710054,0.332529144004557,0.162436716879857,0.199139302640892,0.243648721343191,0.24404381798371,0.133451937026322,0.117578106570203,0.22793094638906,0.250005585718348,0.128844282683156,0.140185607711812,210.466569021549,35.5831330135458,0.975092587688544,0.668585152691451
"31","whole",15,7,0.335181420881393,0.47456573976649,0.644714295210021,0.284668911538554,0.423754478100824,0.280122833468971,0.327269134437272,0.138887897155792,0.173988722458387,0.285188711116196,0.327890400749208,0.144200605687375,0.177939284730881,0.25335875324535,0.248606763826903,0.116321641645106,0.100414577247219,0.234793118272684,0.24797753231705,0.117984954710591,0.127438847125844,187.668114504472,38.2348870559184,0.963224384579977,0.648003047914935
"32","whole",15,8,0.334634389200973,0.53067275967748,0.652870047119863,0.306525636412474,0.449830753404727,0.281183476871766,0.315952662828163,0.14942333816363,0.187855991314834,0.279468508127472,0.318613823687854,0.150591347449329,0.188151009053452,0.218031783587599,0.235483852798647,0.112764466596366,0.104914576713999,0.212109685392862,0.244056206534554,0.116069703154087,0.134415670052922,223.9948359774,44.9219801299292,1.00765305579275,0.629390143530372
"33","whole",20,1,0.354454988628527,0.532978233892844,0.672358231055733,0.310791298364709,0.469931604468752,0.292563230234931,0.342779295725035,0.153149799979035,0.198723132007066,0.293319961950065,0.342341604553991,0.156399834953522,0.201177567781451,0.243418945565695,0.261298706094655,0.122990168157022,0.118765903309791,0.23337395408981,0.26103502821263,0.124994187501486,0.145367751152738,198.698001731996,57.3494525677066,0.972000127298698,0.654815112121494
"34","whole",20,2,0.354691639745432,0.545392139676513,0.753214526318198,0.308520512759894,0.497287785653074,0.287151239861196,0.360970285060867,0.156899191046554,0.20196744263405,0.282391081723959,0.356269514828947,0.155616437548758,0.197281005114575,0.21451553919287,0.240903197714756,0.117788012817948,0.0859034544609189,0.211350636581002,0.258230271438979,0.118838480185262,0.132069568500827,228.252077497438,49.4125013930252,1.23729113696275,0.745278115054325
"35","whole",20,3,0.354380304208,0.581783483992797,0.704161353656261,0.325576799367329,0.492047685180613,0.337498915675578,0.348614356048065,0.170741706332859,0.215613945256958,0.334698621893025,0.34918409839944,0.171367220661572,0.213727088748415,0.286472159467399,0.263942646595043,0.13718474722601,0.126547870835233,0.270000108785758,0.270543560105346,0.134450211745684,0.152534262500404,219.612725337066,38.5260479860228,1.00540646644915,0.691407192734186
"36","whole",20,4,0.356037327718329,0.546015394201783,0.712676439230536,0.289264787967705,0.464929696543326,0.284254758750501,0.343796768769457,0.143131999678208,0.185144967775546,0.280141867062458,0.342738281463383,0.142544291713412,0.182053444169774,0.205677575393256,0.242095675896703,0.103175283752904,0.0777418207680049,0.203116697190032,0.25443689556812,0.105739370454913,0.122525243299188,196.736946455453,43.4621417798374,1.08661838040553,0.699663126735589
"37","whole",20,5,0.35167296154521,0.55483179927943,0.689070596149864,0.32336020843965,0.471603361890787,0.317956651031441,0.354698686837349,0.168438220436079,0.209792741260877,0.312988206086939,0.352781695973225,0.170548946309585,0.209779246000254,0.258916231850751,0.271797530766968,0.13658990207827,0.129743970163231,0.243048118608941,0.271001316888274,0.133261910783627,0.150531436942214,209.37887430748,43.8926915486966,0.972942295136249,0.683877338280884
"38","whole",20,6,0.354439265881307,0.496499950389714,0.670588592197903,0.282819564477468,0.42548062090182,0.287088367087258,0.322974293255822,0.152480119828746,0.184920181082424,0.28312729646294,0.325865338272233,0.151428980723462,0.180730455269872,0.236082838778963,0.236705799697861,0.120442764549458,0.0956227710958823,0.220102100407048,0.246012485675087,0.116044034586639,0.123301600171572,235.525201680806,35.2778442779683,1.04774733671832,0.680513398956083
"39","whole",20,7,0.350233253546349,0.539951995966681,0.705637975438114,0.324375329691539,0.484322792078777,0.31821705245259,0.338085123844758,0.164948359460465,0.204468276138678,0.31484590782901,0.335844875876437,0.166667131898475,0.202878465455401,0.26749612641749,0.235287342688543,0.130105647057412,0.10760863518638,0.24731273775997,0.249983220437815,0.129366911936262,0.140642590194397,215.94594331473,39.2449311923552,1.18292273517751,0.68632738721314
"40","whole",20,8,0.352331159832833,0.560496361027663,0.681851623484868,0.335274481838468,0.489327905527427,0.331003320732521,0.353733937361082,0.174372931667162,0.220645604870821,0.327089363712806,0.352311595775433,0.17823493540516,0.222825599340576,0.278558064998892,0.269750395731201,0.146187748688051,0.144317203119227,0.257905167595781,0.265712018805942,0.14285847327308,0.161508029192821,219.738116566294,42.1765588265446,0.992303349231345,0.661170551849713
"41","whole",25,1,0.369092299141046,0.505579327594702,0.685547212021616,0.309911941186283,0.469335253977557,0.295956808018485,0.353594408910895,0.159803458630827,0.203361243435546,0.295241618175097,0.350947800609476,0.16072126505835,0.202381139338119,0.251145186673074,0.261578882635661,0.1265690572884,0.114617762100001,0.230264681223587,0.258569157955895,0.125055000726381,0.141420192031059,230.096971540235,46.3946333270829,0.975879529817302,0.691153977310691
"42","whole",25,2,0.369724471735073,0.550402697708936,0.753242856256158,0.338021092287379,0.534742924024088,0.315439745595031,0.378439286478594,0.178890081450635,0.23272961762163,0.319291582179782,0.38035475442711,0.178609145416271,0.230208232586439,0.280454947458358,0.287011301087021,0.141858351563592,0.130476671475955,0.266757342236275,0.287332074638197,0.138059868680563,0.161304748053562,230.073754742835,42.2630481293054,1.03779446483948,0.766125381587924
"43","whole",25,3,0.367509039381281,0.547160788922446,0.771085863324318,0.322922238622714,0.518531929916287,0.323705562998748,0.357751677783175,0.171473823157251,0.215454685403934,0.318165010952608,0.353189018187735,0.173133991941882,0.211855953093084,0.266440122511301,0.225147152432509,0.140667620138241,0.0980038270868314,0.244957345490865,0.251829688790556,0.135813431075411,0.140965305840618,234.703385277004,50.6677608025712,1.2437364181822,0.761173445026987
"44","whole",25,4,0.366755973191831,0.545745884565924,0.712249385369903,0.326984588208198,0.491511784938352,0.325510209899278,0.334124537430547,0.170182393388396,0.209459908985679,0.319774715001283,0.340481242249397,0.169269212063841,0.206827072501916,0.273968639156656,0.240860462160626,0.130999172428554,0.109499625619203,0.255521286830143,0.254090833132705,0.129180736931397,0.142540020008251,223.292049588401,45.7897662658339,1.08880506524968,0.701866194603093
"45","whole",25,5,0.373181367181746,0.542113271590629,0.792012656973527,0.320831393011032,0.529899114575851,0.314285929858705,0.388822552135915,0.169803517419164,0.220306284705501,0.311498564078295,0.384046119077571,0.167601842441093,0.213677211252073,0.266953200380397,0.26714733080503,0.12771526368497,0.0933175664922075,0.252595648478775,0.278424298912428,0.124372094078598,0.140752282891453,243.688767022642,60.9379622750555,1.27649146077051,0.781828064014721
"46","whole",25,6,0.370265077741654,0.535512631824714,0.751614161237206,0.303491633006648,0.492712666206923,0.307313756793617,0.374476646176095,0.150656784887544,0.195917599401993,0.306218161819309,0.368738029115944,0.149889134560246,0.192185876460596,0.263386801508531,0.26403338470091,0.112354815063245,0.081606603790661,0.250268940297529,0.272318208635711,0.115547165121309,0.129651297157156,203.633070221365,45.3021181345427,1.155988467803,0.750091294168851
