"","X.2","X.1","X","species","speed","category","size","Body_mass_g","distance","avgduration"
"618",1344,1344,1344,"peccary",0.0287999999999999,"LS","large",21133.69,0.24,1.66666666666667
"619",1345,1345,1345,"paca",0.5175,"LS","large",8172.55,1.15,0.555555555555556
"620",1346,1346,1346,"peccary",0.31875,"LS","large",21133.69,0.85,0.666666666666667
"621",1347,1347,1347,"agouti",0.4725,"SF","small",2309.12,0.84,0.444444444444444
"622",1348,1348,1348,"brocket",0.0731249999999999,"LF","large",20546.86,0.65,1.77777777777778
"623",1349,1349,1349,"agouti",0.312,"SF","small",2309.12,1.04,0.666666666666667
"624",1350,1350,1350,"tamandua",0.294545454545455,"LS","large",4800,3.6,2.44444444444444
"625",1351,1351,1351,"agouti",0.27,"SF","small",2309.12,1.05,0.777777777777778
"626",1352,1352,1352,"brocket",0.205500000000001,"LF","large",20546.86,1.37,1.33333333333333
"627",1353,1353,1353,"paca",0.243,"LS","large",8172.55,0.54,0.555555555555556
"628",1354,1354,1354,"agouti",0.809999999999999,"SF","small",2309.12,2.25,0.555555555555556
"629",1355,1355,1355,"peccary",0.308571428571428,"LS","large",21133.69,1.2,0.777777777777778
"630",1356,1356,1356,"paca",0.12323076923077,"LS","large",8172.55,0.89,1.44444444444444
"631",1357,1357,1357,"agouti",0.0629999999999999,"SF","small",2309.12,0.56,1.77777777777778
"632",1358,1358,1358,"agouti",0.405,"SF","small",2309.12,0.72,0.444444444444444
"633",1359,1359,1359,"agouti",0.1875,"SF","small",2309.12,0.5,0.666666666666667
"634",1360,1360,1360,"paca",0.234,"LS","large",8172.55,0.65,0.555555555555556
"635",1361,1361,1361,"agouti",0.31875,"SF","small",2309.12,0.85,0.666666666666667
"636",1362,1362,1362,"peccary",0.120315789473684,"LS","large",21133.69,1.27,2.11111111111111
"637",1363,1363,1363,"agouti",0.753750000000001,"SF","small",2309.12,1.34,0.444444444444444
"638",1364,1364,1364,"armadillo",0.630000000000001,"SF","small",3949.01,1.4,0.444444444444444
"639",1365,1365,1365,"rat",0.3075,"SF","small",282.17,0.41,0.444444444444444
"640",1366,1366,1366,"agouti",0.0388421052631579,"SF","small",2309.12,0.41,2.11111111111111
"641",1367,1367,1367,"agouti",0.2025,"SF","small",2309.12,0.54,0.666666666666667
"642",1368,1368,1368,"peccary",0.216,"LS","large",21133.69,0.6,0.555555555555556
