"","species","angle","dist","Body_mass_g","angles_rad"
"400","agouti",0,3.1,2309.12,0
"401","agouti",0,2.7,2309.12,0
"402","agouti",0,4,2309.12,0
"403","ocelot",0,0.91,11880,0
"404","coati",0,2.9,3775.5,0
"405","agouti",0,3.9,2309.12,0
"406","brocket",0,0.5,20546.86,0
"407","brocket",0,1.58,20546.86,0
"408","squirrel",-1,2.73,545.4,0.0174532925199433
"409","tamandua",-1,1.1,4800,0.0174532925199433
"410","agouti",-1,2.23,2309.12,0.0174532925199433
"411","ocelot",-1,1.42,11880,0.0174532925199433
"412","mouse",-1,2.1,19.3,0.0174532925199433
"413","agouti",-1,1.12,2309.12,0.0174532925199433
"414","agouti",-1,1.3,2309.12,0.0174532925199433
"415","agouti",-1,0.9,2309.12,0.0174532925199433
"416","rat",-2,2.55,282.17,0.0349065850398866
"417","mouse",-2,1.11,19.3,0.0349065850398866
"418","squirrel",-2,2.5,545.4,0.0349065850398866
"419","agouti",-3,1.34,2309.12,0.0523598775598299
"420","agouti",-3,1.7,2309.12,0.0523598775598299
"421","agouti",-4,1.56,2309.12,0.0698131700797732
"422","agouti",-6,2.1,2309.12,0.10471975511966
"423","coati",-6,2.3,3775.5,0.10471975511966
"424","peccary",-8,4.45,21133.69,0.139626340159546
"425","mouse",-8,2.38,19.3,0.139626340159546
"426","squirrel",-8,1.71,545.4,0.139626340159546
"427","agouti",-8,0.73,2309.12,0.139626340159546
"428","agouti",-8,2.55,2309.12,0.139626340159546
"429","agouti",-8,3.42,2309.12,0.139626340159546
"430","tamandua",-9,2.48,4800,0.15707963267949
"431","agouti",-9,1.73,2309.12,0.15707963267949
"432","brocket",-9,2.68,20546.86,0.15707963267949
"433","brocket",-9,3.68,20546.86,0.15707963267949
"434","agouti",-10,0.83,2309.12,0.174532925199433
"435","agouti",-11,2.63,2309.12,0.191986217719376
"436","ocelot",-12,1.04,11880,0.20943951023932
"437","paca",-12,3.14,8172.55,0.20943951023932
"438","paca",-13,3.18,8172.55,0.226892802759263
"439","squirrel",-15,1.38,545.4,0.261799387799149
"440","paca",-16,2.31,8172.55,0.279252680319093
"441","agouti",-16,1.1,2309.12,0.279252680319093
"442","agouti",-17,2.42,2309.12,0.296705972839036
"443","tamandua",-18,2.06,4800,0.314159265358979
"444","agouti",-19,1.26,2309.12,0.331612557878923
"445","agouti",-20,2.41,2309.12,0.349065850398866
"446","rat",-20,0.65,282.17,0.349065850398866
"447","agouti",-21,3.28,2309.12,0.366519142918809
"448","coati",-21,1.84,3775.5,0.366519142918809
"449","brocket",-23,2.48,20546.86,0.401425727958696
"450","armadillo",-24,4.31,3949.01,0.418879020478639
"451","rat",-24,1.2,282.17,0.418879020478639
"452","agouti",-24,1.34,2309.12,0.418879020478639
"453","agouti",-27,3.96,2309.12,0.471238898038469
"454","agouti",-27,1.42,2309.12,0.471238898038469
"455","armadillo",-29,1.3,3949.01,0.506145483078356
"456","agouti",-31,1.39,2309.12,0.541052068118242
"457","agouti",-32,2.07,2309.12,0.558505360638185
"458","agouti",-32,0.6,2309.12,0.558505360638185
"459","agouti",-40,1.59,2309.12,0.698131700797732
"460","agouti",-42,0.88,2309.12,0.733038285837618
"461","rat",-43,0.54,282.17,0.750491578357562
"495","peccary",42,0.73,21133.69,0.733038285837618
"496","peccary",37,1.29,21133.69,0.645771823237902
"497","agouti",35,0.61,2309.12,0.610865238198015
"498","peccary",35,6.39,21133.69,0.610865238198015
"499","peccary",35,6.39,21133.69,0.610865238198015
"500","agouti",32,1.08,2309.12,0.558505360638185
"501","paca",32,1.94,8172.55,0.558505360638185
"502","peccary",32,2.64,21133.69,0.558505360638185
"503","agouti",29,2.35,2309.12,0.506145483078356
"504","agouti",28,1.29,2309.12,0.488692190558412
"505","tamandua",27,1.75,4800,0.471238898038469
"506","peccary",26,1.43,21133.69,0.453785605518526
"507","brocket",25,1.54,20546.86,0.436332312998582
"508","agouti",25,1.64,2309.12,0.436332312998582
"509","peccary",24,1.27,21133.69,0.418879020478639
"510","paca",24,1.52,8172.55,0.418879020478639
"511","agouti",23,1.25,2309.12,0.401425727958696
"512","paca",23,1.94,8172.55,0.401425727958696
"513","agouti",23,1.84,2309.12,0.401425727958696
"514","coati",22,1.84,3775.5,0.383972435438752
"515","ocelot",22,1.32,11880,0.383972435438752
"516","agouti",21,4.23,2309.12,0.366519142918809
"517","agouti",21,3.15,2309.12,0.366519142918809
"518","mouse",19,1.65,19.3,0.331612557878923
"519","paca",15,0.73,8172.55,0.261799387799149
"520","agouti",15,3.35,2309.12,0.261799387799149
"521","rat",15,0.63,282.17,0.261799387799149
"522","ocelot",15,1.4,11880,0.261799387799149
"523","armadillo",14,0.75,3949.01,0.244346095279206
"524","agouti",13,1.65,2309.12,0.226892802759263
"525","agouti",12,0.92,2309.12,0.20943951023932
"526","agouti",11,3.7,2309.12,0.191986217719376
"527","agouti",10,2.57,2309.12,0.174532925199433
"528","coati",10,3.3,3775.5,0.174532925199433
"529","agouti",9,3.6,2309.12,0.15707963267949
"530","agouti",9,0.92,2309.12,0.15707963267949
"531","ocelot",9,2.38,11880,0.15707963267949
"532","coati",9,3.1,3775.5,0.15707963267949
"533","rat",8,0.47,282.17,0.139626340159546
"534","coati",8,1.16,3775.5,0.139626340159546
"535","mouse",7,0.51,19.3,0.122173047639603
"536","tamandua",7,2.5,4800,0.122173047639603
"537","agouti",7,2.48,2309.12,0.122173047639603
"538","ocelot",5,1.25,11880,0.0872664625997165
"539","agouti",5,2.5,2309.12,0.0872664625997165
"540","rat",4,0.96,282.17,0.0698131700797732
"541","agouti",4,1.56,2309.12,0.0698131700797732
"542","agouti",4,2.46,2309.12,0.0698131700797732
"543","agouti",4,3.4,2309.12,0.0698131700797732
"544","squirrel",3,0.74,545.4,0.0523598775598299
"545","agouti",2.9,-7,2309.12,0.0506145483078356
"546","agouti",2,2.3,2309.12,0.0349065850398866
"547","agouti",2,2.35,2309.12,0.0349065850398866
"548","agouti",2,1.69,2309.12,0.0349065850398866
"549","agouti",2,2.92,2309.12,0.0349065850398866
"550","mouse",1,2.37,19.3,0.0174532925199433
"551","squirrel",1,0.9,545.4,0.0174532925199433
"552","agouti",1,2.69,2309.12,0.0174532925199433
"553","peccary",1,3.9,21133.69,0.0174532925199433
"554","agouti",0,1.49,2309.12,0
"555","paca",0,1.18,8172.55,0
"556","agouti",0,3.6,2309.12,0
"557","agouti",0,2.32,2309.12,0
"558","tamandua",0,0.7,4800,0
"559","coati",0,3.87,3775.5,0
"560","agouti",0,1.43,2309.12,0
"561","agouti",0,1.82,2309.12,0
"562","agouti",0,1.53,2309.12,0
"563","paca",0,3.31,8172.55,0
"564","coati",0,1.85,3775.5,0
"565","agouti",0,3.86,2309.12,0
"566","coati",0,1.74,3775.5,0
"567","coati",0,4.8,3775.5,0
"568","agouti",-1,0.97,2309.12,0.0174532925199433
"569","agouti",-1,2.4,2309.12,0.0174532925199433
"570","ocelot",-2,0.95,11880,0.0349065850398866
"571","agouti",-2,2.29,2309.12,0.0349065850398866
"572","agouti",-2,1.88,2309.12,0.0349065850398866
