"X.2","X.1","X","id","camid","image_name","x","y","frame_number","sequence_id","number_of_points","DateTimeOriginal","species","label","note","height","position","siteid","imgid","ImageWidth","ImageHeight","deployment","radius","angle","frame_count","deg","pixdiff","dist","timediff","time","speed","frames"
9662,10046,9732,9732,"H600HF09165526","IMG_0751.JPG",745.2392,673.3427,750,88,10,"2015:08:28 09:58:24","takin","movement","",NA,NA,"MAK_12","MAK_12 750",1920,1080,"MAK_12",8.41938867719341,-0.079264275425825,7,-4.54184298189977,3185.24917488831,10.9853847195317,1721185,1721185,6.38245436692263e-06,17
9672,10056,9742,9742,"H600HF09165526","IMG_0781.JPG",1638.594,725.6979,780,89,16,"2015:09:17 13:54:41","takin","movement","",NA,NA,"MAK_12","MAK_12 780",1920,1080,"MAK_12",6.70253055897934,0.250456609019487,9,14.3511636968166,2147.98751376668,13.3401922482255,89980,89980,0.000148257304381257,20
9688,10072,9758,9758,"H600HF09165526","IMG_0790.JPG",1886.963,904.2963,789,90,11,"2015:09:17 13:54:47","takin","movement","",NA,NA,"MAK_12","MAK_12 789",1920,1080,"MAK_12",4.75691441367475,0.342125055138317,5,19.6037656594255,2599.63289798202,7.86501687707792,89992,89992,8.73968450204232e-05,21
9699,10083,9769,9769,"H600HF09165526","IMG_0791.JPG",1837.27,719.9405,790,91,10,"2015:09:17 13:54:49","takin","movement","",NA,NA,"MAK_12","MAK_12 790",1920,1080,"MAK_12",6.64948150531328,0.323784279546423,1,18.55283921801,3690.09022109135,21.4574969943378,2002913,2002913,1.07131448017651e-05,173
9709,10093,9779,9779,"H600HF09165526","IMG_0802.JPG",1498.212,1234.954,801,92,12,"2015:09:17 13:55:24","takin","movement","",NA,NA,"MAK_12","MAK_12 801",1920,1080,"MAK_12",3.22336592831549,0.198644185556601,1,11.3823118323932,5751.63757791153,13.3104487632333,2539664,2539664,5.24102746002355e-06,43
10064,10494,10180,10180,"H600IF06156501","IMG_0221.JPG",905.2221,1652.824,220,93,61,"2015:07:15 20:59:31","takin","movement","",NA,NA,"MAK_37","MAK_37 220",1920,1080,"MAK_37",2.14726722736317,-0.0202185424431244,1,-1.15852248199103,3127.45896254093,4.24867802963023,89,89,0.0477379553891037,61
141,177,1729,1729,"CAM_50040","MathuAkru-2015-09-12_14-05-50-CAM50040_2.jpg",511.3679398,1123.450231,1310,104,10,"2015:09:12 14:05:50","himalayan black bear","movement","",NA,NA,"MAK_31","MAK_31 1310",2048,1536,"MAK_31",3.15303480633305,-0.253364649185233,6,-14.5177943983139,810.035706793885,1.88508085466602,8,8,0.235635106833252,10
151,187,1739,1739,"CAM_50040","MathuAkru-2015-09-07_13-01-43-CAM50040.jpg",885.5704861,1045.912731,1270,105,10,"2015:09:07 13:01:43","takin","movement","",NA,NA,"MAK_31","MAK_31 1270",2048,1536,"MAK_31",3.88593527737188,-0.0684177755337275,16,-3.92033853808259,420.247781715807,1.9539622008722,9,9,0.217106911208022,10
161,197,1749,1749,"CAM_50040","MathuAkru-2015-08-27_15-05-09-CAM50040.jpg",1553.066782,1180.760532,1247,106,10,"2015:08:27 15:05:09","takin","movement","",NA,NA,"MAK_31","MAK_31 1247",2048,1536,"MAK_31",3.30675296255626,0.261487390321809,2,14.9832274654396,538.989417570634,1.1737067361598,9,9,0.130411859573312,10
171,207,1759,1759,"CAM_50040","MathuAkru-2015-08-27_15-04-56-CAM50040.jpg",1148.523495,961.6329282,1237,107,10,"2015:08:27 15:04:56","takin","movement","",NA,NA,"MAK_31","MAK_31 1237",2048,1536,"MAK_31",5.03142360843588,0.0615448273244658,12,3.52651860569189,195.207004866032,1.614737005315,9,9,0.179415222812778,10
