"","X","species","speed","category","size","Body_mass_g"
"170",170,"Fox",0.830068976178889,"LF","large",4820.36
"171",171,"Fox",0.551499036081571,"LF","large",4820.36
"172",172,"Fox",2.01412155804591,"LF","large",4820.36
"173",173,"Fox",1.66306117398962,"LF","large",4820.36
"174",174,"Fox",1.27199267505115,"LF","large",4820.36
"175",175,"Fox",0.767042937601664,"LF","large",4820.36
"176",176,"Fox",0.163954426541223,"LF","large",4820.36
"177",177,"Fox",0.458817933671479,"LF","large",4820.36
"178",178,"Fox",0.325226518001471,"LF","large",4820.36
"179",179,"Fox",0.94346707285507,"LF","large",4820.36
"180",180,"Fox",0.590347146060366,"LF","large",4820.36
"181",181,"Fox",0.00476256381869763,"LF","large",4820.36
"182",182,"Fox",0.233241148734674,"LF","large",4820.36
"183",183,"Fox",2.49920251716064,"LF","large",4820.36
"184",184,"Fox",0.0638062238341024,"LF","large",4820.36
"185",185,"Fox",1.70877056490535,"LF","large",4820.36
"186",186,"Fox",0.00334248125638115,"LF","large",4820.36
"187",187,"Fox",1.71312835356245,"LF","large",4820.36
"188",188,"Fox",1.13846664827943,"LF","large",4820.36
"189",189,"Fox",0.797468381322762,"LF","large",4820.36
"190",190,"Fox",0.206112335938261,"LF","large",4820.36
"191",191,"Fox",0.668696975022562,"LF","large",4820.36
"192",192,"Fox",0.685661371180049,"LF","large",4820.36
"193",193,"Fox",0.763607651859987,"LF","large",4820.36
"194",194,"Fox",0.327510808180622,"LF","large",4820.36
"195",195,"Fox",0.0483983475557379,"LF","large",4820.36
"196",196,"Fox",1.0918803025692,"LF","large",4820.36
"197",197,"Fox",0.469769216669936,"LF","large",4820.36
"198",198,"Hedgehog",0.0130269359210894,"SS","small",777.95
"199",199,"Hedgehog",0.109502485829329,"SS","small",777.95
"200",200,"Fox",0.338764952231958,"LF","large",4820.36
"201",201,"Fox",0.661026650493176,"LF","large",4820.36
"202",202,"Hedgehog",0.197426940450087,"SS","small",777.95
"203",203,"Hedgehog",0.167452975180171,"SS","small",777.95
"204",204,"Fox",0.621767170719691,"LF","large",4820.36
"205",205,"Hedgehog",0.0540761478570275,"SS","small",777.95
"206",206,"Fox",0.262345074193649,"LF","large",4820.36
"207",207,"Hedgehog",0.00739879932672506,"SS","small",777.95
"208",208,"Hedgehog",0.164466781695918,"SS","small",777.95
"209",209,"Fox",0.952657464390419,"LF","large",4820.36
"210",210,"Fox",0.933028128677506,"LF","large",4820.36
"211",211,"Hedgehog",0.0952568695355254,"SS","small",777.95
"212",212,"Fox",0.17317074871638,"LF","large",4820.36
"213",213,"Hedgehog",0.132059291945467,"SS","small",777.95
"214",214,"Hedgehog",0.0399034141119605,"SS","small",777.95
"215",215,"Hedgehog",0.0922790047044882,"SS","small",777.95
"216",216,"Fox",0.193438490088296,"LF","large",4820.36
"217",217,"Fox",0.166937852853186,"LF","large",4820.36
"218",218,"Hedgehog",0.209408970994381,"SS","small",777.95
"219",219,"Hedgehog",0.116540198387729,"SS","small",777.95
"220",220,"Hedgehog",0.0923535313719357,"SS","small",777.95
"221",221,"Hedgehog",0.113401553154002,"SS","small",777.95
"222",222,"Hedgehog",0.19021343755628,"SS","small",777.95
"223",223,"Hedgehog",0.289051612552526,"SS","small",777.95
"224",224,"Fox",0.375008953566136,"LF","large",4820.36
"225",225,"Hedgehog",0.0904386460242194,"SS","small",777.95
"226",226,"Fox",0.125532873510234,"LF","large",4820.36
"227",227,"Fox",1.32570860334442,"LF","large",4820.36
"228",228,"Fox",0.0789893232757852,"LF","large",4820.36
"229",229,"Fox",0.545835322865311,"LF","large",4820.36
"230",230,"Fox",0.936998047309815,"LF","large",4820.36
"231",231,"Fox",0.0926738024895053,"LF","large",4820.36
"232",232,"Fox",1.75927210152351,"LF","large",4820.36
"233",233,"Fox",2.2016334154444,"LF","large",4820.36
"234",234,"Fox",0.816866232107027,"LF","large",4820.36
"235",235,"Fox",1.4728604734963,"LF","large",4820.36
"236",236,"Fox",0.118023785160453,"LF","large",4820.36
"237",237,"Fox",0.65251941218045,"LF","large",4820.36
"238",238,"Fox",1.34790298651433,"LF","large",4820.36
"239",239,"Fox",0.945490939805142,"LF","large",4820.36
"240",240,"Fox",0.0547828227740565,"LF","large",4820.36
"241",241,"Fox",0.8500731679254,"LF","large",4820.36
"242",242,"Fox",0.649525189647274,"LF","large",4820.36
"243",243,"Fox",0.00916496278366441,"LF","large",4820.36
"244",244,"Fox",0.692102874249045,"LF","large",4820.36
"245",245,"Fox",0.0433560889566706,"LF","large",4820.36
"246",246,"Fox",0.374901562014011,"LF","large",4820.36
"247",247,"Fox",0.155025387849449,"LF","large",4820.36
"248",248,"Fox",0.641830313434687,"LF","large",4820.36
"249",249,"Fox",1.09867604937575,"LF","large",4820.36
"250",250,"Fox",0.127992745384082,"LF","large",4820.36
"251",251,"Fox",1.28855795600421,"LF","large",4820.36
"252",252,"Fox",1.09007776322662,"LF","large",4820.36
"253",253,"Fox",0.428817069271173,"LF","large",4820.36
